date,solarenergy,evapotranspiration,rainfallvalue,humidity,temp,soilmoisture,inflow
2018-11-26,19.7,0.58,0.0,48.0,25.3,7.08,0.0
2018-11-27,19.1,0.6,0.0,58.7,25.0,6.83,0.0
2018-11-28,18.3,0.57,0.0,63.0,24.8,6.6,0.0
2018-11-29,17.9,0.52,0.0,61.2,25.9,6.39,0.0
2018-11-30,18.2,0.28,0.0,55.9,25.3,6.27,0.0
2018-12-01,17.0,0.51,0.0,56.7,25.8,6.07,0.0
2018-12-02,14.6,0.52,0.0,63.1,25.4,5.87,0.0
2018-12-03,14.1,0.47,0.12,63.5,25.6,5.68,0.0
2018-12-04,11.7,0.2,0.0,69.2,25.6,5.6,0.0
2018-12-05,10.6,0.38,0.0,67.2,26.6,5.45,0.0
2018-12-06,13.7,0.41,0.0,73.0,27.1,5.51,0.0
2018-12-07,13.5,0.44,0.0,74.8,26.8,5.35,231.4814814814861
2018-12-08,13.8,0.43,0.0,75.8,26.6,5.18,0.0
2018-12-09,14.6,0.41,0.0,67.8,27.0,5.03,0.0
2018-12-10,11.5,0.38,0.0,72.1,26.4,4.89,0.0
2018-12-11,9.5,0.39,0.0,73.8,26.1,4.75,0.0
2018-12-12,16.3,0.39,1.22,67.1,26.6,4.62,0.0
2018-12-13,11.6,0.36,0.0,70.3,25.9,4.56,0.0
2018-12-14,15.9,0.31,0.0,69.5,25.3,4.53,0.0
2018-12-15,15.2,0.32,0.95,65.9,25.2,4.41,0.0
2018-12-16,6.0,0.2,0.4,58.1,23.2,4.84,0.0
2018-12-17,4.5,0.44,0.0,82.6,20.3,5.29,0.0
2018-12-18,10.0,0.35,0.0,72.1,21.5,5.16,0.0
2018-12-19,7.3,0.34,0.0,72.9,21.3,5.01,0.0
2018-12-20,11.1,0.34,0.0,75.0,22.4,4.88,0.0
2018-12-21,13.5,0.35,0.0,73.8,23.3,4.74,0.0
2018-12-22,13.6,0.35,0.0,72.4,23.5,4.6,0.0
2018-12-23,14.8,0.31,0.0,73.0,24.2,4.48,0.0
2018-12-24,17.2,0.33,0.0,71.3,24.1,4.36,0.0
2018-12-25,18.5,0.33,0.0,63.7,24.4,4.24,0.0
2018-12-26,14.7,0.16,0.02,69.3,25.1,4.17,0.0
2018-12-27,14.8,0.15,0.0,71.0,25.3,4.25,0.0
2018-12-28,19.2,0.2,0.0,49.9,23.8,4.19,43171.2962962963
2018-12-29,19.2,0.11,0.0,50.4,21.9,4.15,0.0
2018-12-30,19.3,0.08,0.0,53.3,21.4,4.11,0.0
2018-12-31,19.7,0.06,0.0,47.1,21.1,4.08,0.0
2019-01-01,19.8,1.23,0.0,45.0,20.9,4.06,0.0
2019-01-02,19.4,1.25,0.0,53.3,21.7,4.01,0.0
2019-01-03,19.5,1.28,0.0,53.3,23.6,3.97,0.0
2019-01-04,19.2,1.26,0.0,61.7,22.5,3.92,0.0
2019-01-05,18.5,1.21,0.0,68.9,22.9,3.89,0.0
2019-01-06,19.2,1.22,0.0,67.5,23.3,3.85,0.0
2019-01-07,19.4,1.22,0.0,63.5,23.4,3.81,0.0
2019-01-08,19.5,0.54,0.0,52.9,23.5,3.8,0.0
2019-01-09,20.1,1.23,0.0,43.5,22.0,3.76,0.0
2019-01-10,20.0,1.19,0.0,48.0,22.5,3.73,0.0
2019-01-11,17.9,1.14,0.0,68.5,23.5,3.7,0.0
2019-01-12,18.9,1.12,0.0,65.5,24.0,3.67,0.0
2019-01-13,19.3,1.07,0.0,68.2,23.7,3.64,0.0
2019-01-14,19.6,1.07,0.0,65.8,23.4,3.62,0.0
2019-01-15,19.8,1.1,0.0,58.1,24.4,3.59,0.0
2019-01-16,20.1,1.04,0.0,56.5,24.0,3.56,0.0
2019-01-17,19.2,1.02,0.0,64.4,23.8,3.54,0.0
2019-01-18,19.8,0.99,0.0,64.8,24.3,3.52,0.0
2019-01-19,19.8,0.96,0.0,62.9,23.9,3.5,0.0
2019-01-20,20.1,0.92,0.0,57.7,24.3,3.47,0.0
2019-01-21,20.3,0.89,0.0,63.3,24.6,3.46,0.0
2019-01-22,20.3,0.84,0.0,59.2,24.4,3.44,0.0
2019-01-23,19.2,0.82,0.0,66.7,24.3,3.43,0.0
2019-01-24,18.0,0.8,0.03,66.2,25.2,3.41,0.0
2019-01-25,15.6,0.72,5.9,68.7,25.7,3.4,0.0
2019-01-26,11.1,0.63,17.77,78.4,24.9,3.8,0.0
2019-01-27,6.7,0.61,3.0,87.2,22.6,5.24,0.0
2019-01-28,8.6,0.55,0.0,90.6,21.2,7.98,0.0
2019-01-29,20.9,0.91,0.0,69.8,21.5,7.27,0.0
2019-01-30,21.9,0.97,0.0,50.7,20.8,7.02,0.0
2019-01-31,16.2,1.0,0.0,68.4,21.9,6.84,0.0
2019-02-01,17.2,1.45,0.0,71.5,23.6,6.68,0.0
2019-02-02,20.5,1.47,0.0,70.0,23.1,6.55,0.0
2019-02-03,16.9,1.41,0.0,70.0,24.0,6.43,0.0
2019-02-04,18.9,1.38,0.0,67.2,24.8,6.32,0.0
2019-02-05,20.1,1.36,0.0,66.2,25.0,6.22,0.0
2019-02-06,21.1,1.37,0.0,62.9,25.2,6.13,0.0
2019-02-07,20.0,1.3,0.0,56.2,26.3,6.04,0.0
2019-02-08,15.9,1.26,0.0,69.6,26.1,5.95,0.0
2019-02-09,17.9,1.18,0.0,59.0,25.1,5.88,0.0
2019-02-10,22.0,1.26,0.0,44.6,24.9,5.81,0.0
2019-02-11,15.5,1.05,0.0,71.4,26.0,5.75,0.0
2019-02-12,19.7,1.2,0.0,70.4,25.7,5.68,0.0
2019-02-13,21.5,1.23,0.0,69.9,25.6,5.62,0.0
2019-02-14,22.0,1.23,0.0,64.0,26.2,5.56,0.0
2019-02-15,20.2,1.16,0.0,59.7,27.0,5.51,0.0
2019-02-16,19.4,1.1,0.0,61.8,27.5,5.46,0.0
2019-02-17,18.4,1.14,0.0,63.8,28.2,5.42,0.0
2019-02-18,20.4,1.11,0.0,62.5,28.2,5.37,0.0
2019-02-19,20.6,1.03,0.0,65.0,29.0,5.33,0.0
2019-02-20,21.2,0.99,0.0,64.6,28.6,5.3,0.0
2019-02-21,22.4,1.01,0.0,60.9,27.8,5.26,0.0
2019-02-22,23.0,0.7,0.0,47.4,29.1,5.24,0.0
2019-02-23,23.1,0.67,0.0,40.5,30.2,5.22,0.0
2019-02-24,23.2,0.84,0.0,34.3,30.9,5.19,0.0
2019-02-25,23.3,0.81,0.0,39.0,30.5,5.16,0.0
2019-02-26,21.8,0.79,0.17,56.5,28.6,5.14,0.0
2019-02-27,20.2,0.75,0.04,68.1,28.3,5.11,0.0
2019-02-28,17.2,0.65,0.0,72.4,28.4,5.28,0.0
2019-03-01,17.9,1.02,0.0,68.6,28.8,5.26,0.0
2019-03-02,19.0,0.95,0.0,65.7,28.7,5.24,0.0
2019-03-03,19.1,0.84,0.0,61.6,29.5,5.22,0.0
2019-03-04,22.2,0.99,0.0,55.8,30.3,5.19,0.0
2019-03-05,23.8,0.68,0.0,55.5,30.4,5.17,0.0
2019-03-06,24.5,0.81,0.0,44.6,29.5,5.15,0.0
2019-03-07,24.2,0.73,0.04,42.0,29.2,5.13,0.0
2019-03-08,22.4,0.62,0.0,60.0,30.7,5.12,0.0
2019-03-09,21.0,0.55,0.0,61.4,30.4,5.1,0.0
2019-03-10,21.6,0.51,0.0,61.7,30.6,5.09,0.0
2019-03-11,22.1,0.47,0.0,56.5,31.0,5.08,0.0
2019-03-12,20.8,0.45,0.0,53.0,30.7,5.06,0.0
2019-03-13,22.6,0.43,0.0,46.1,30.9,5.06,0.0
2019-03-14,24.2,0.43,0.0,37.6,31.3,5.05,0.0
2019-03-15,25.1,0.34,0.0,36.6,31.7,5.04,0.0
2019-03-16,25.4,0.35,0.0,39.4,30.6,5.03,0.0
2019-03-17,25.0,0.45,0.0,54.6,29.9,5.03,0.0
2019-03-18,25.5,0.44,0.0,53.7,28.8,5.02,0.0
2019-03-19,23.4,0.43,0.0,59.0,29.9,5.02,0.0
2019-03-20,21.3,0.39,0.0,60.3,30.1,5.02,0.0
2019-03-21,23.8,0.36,0.0,55.4,30.5,5.01,0.0
2019-03-22,23.2,0.42,0.01,59.0,30.2,5.01,0.0
2019-03-23,23.3,0.38,0.01,56.4,31.2,5.0,0.0
2019-03-24,22.3,0.35,0.0,50.8,32.0,5.0,0.0
2019-03-25,24.5,0.34,0.0,52.9,31.6,5.11,0.0
2019-03-26,24.2,0.52,0.0,50.0,31.5,5.1,0.0
2019-03-27,24.7,0.06,0.0,48.6,31.8,1.87,0.0
2019-03-28,24.4,0.06,0.0,44.4,32.0,1.85,0.0
2019-03-29,25.4,0.05,0.0,43.0,32.4,1.83,0.0
2019-03-30,25.9,0.05,0.36,50.9,32.4,1.81,0.0
2019-03-31,24.7,0.04,0.0,50.2,33.0,2.45,0.0
2019-04-01,23.5,0.16,0.0,45.6,33.4,2.37,0.0
2019-04-02,23.4,0.11,0.0,48.0,33.1,2.34,0.0
2019-04-03,23.5,0.14,0.0,55.6,32.2,2.28,0.0
2019-04-04,24.9,0.11,0.06,54.8,31.7,2.32,0.0
2019-04-05,24.7,0.13,0.32,53.6,31.6,3.54,0.0
2019-04-06,24.7,0.32,0.12,49.3,32.3,3.64,0.0
2019-04-07,24.5,0.25,1.02,48.9,32.2,5.08,0.0
2019-04-08,24.3,0.37,0.5,57.0,31.7,5.0,0.0
2019-04-09,23.8,0.64,1.03,61.1,31.8,5.39,0.0
2019-04-10,24.3,0.95,0.69,58.4,32.4,9.49,0.0
2019-04-11,25.0,2.06,0.56,51.3,33.1,10.31,0.0
2019-04-12,25.4,1.27,0.0,48.9,33.4,9.43,13078.703703703704
2019-04-13,24.8,1.06,0.0,46.8,33.1,9.76,0.0
2019-04-14,23.9,1.21,0.55,47.0,33.3,9.0,0.0
2019-04-15,25.8,1.13,0.0,43.9,33.7,8.31,0.0
2019-04-16,27.1,1.01,0.07,40.4,33.1,7.74,0.0
2019-04-17,24.6,0.87,3.93,49.2,32.3,7.25,0.0
2019-04-18,23.1,0.87,1.3,57.8,32.4,7.08,0.0
2019-04-19,22.4,0.89,1.1,65.3,31.2,7.94,0.0
2019-04-20,23.4,0.85,1.04,63.3,31.4,7.39,0.0
2019-04-21,21.6,0.78,1.09,57.1,32.4,7.11,0.0
2019-04-22,24.2,0.72,0.0,55.4,31.9,7.04,0.0
2019-04-23,24.1,0.81,0.0,54.6,32.4,6.6,0.0
2019-04-24,25.4,0.75,0.0,49.6,33.1,6.18,0.0
2019-04-25,25.3,0.7,0.0,45.7,33.9,5.78,0.0
2019-04-26,25.7,0.64,0.0,43.8,34.4,5.43,0.0
2019-04-27,24.7,0.57,0.0,46.7,34.8,5.12,0.0
2019-04-28,23.9,0.46,0.1,45.5,34.7,4.89,0.0
2019-04-29,24.3,0.46,2.89,50.4,34.4,4.76,0.0
2019-04-30,24.2,0.52,0.09,51.8,34.1,7.96,0.0
2019-05-01,23.6,1.48,0.0,53.0,33.6,9.51,0.0
2019-05-02,20.3,1.17,0.0,42.6,34.9,8.86,0.0
2019-05-03,23.0,1.07,0.0,28.3,36.2,8.24,0.0
2019-05-04,24.7,0.99,0.0,28.9,35.8,7.67,0.0
2019-05-05,25.3,0.94,0.0,26.7,36.3,7.13,0.0
2019-05-06,24.5,0.85,0.0,29.5,35.9,6.64,0.0
2019-05-07,20.5,0.56,0.0,34.6,35.9,6.32,0.0
2019-05-08,23.0,0.69,0.0,37.0,36.4,5.99,0.0
2019-05-09,25.9,0.64,0.0,30.5,37.1,5.63,0.0
2019-05-10,24.3,0.6,1.89,32.2,35.9,5.29,0.0
2019-05-11,25.1,0.5,0.34,48.4,35.0,5.62,0.0
2019-05-12,23.9,0.44,0.42,49.3,33.9,5.4,0.0
2019-05-13,23.5,0.53,0.0,53.6,33.9,5.11,0.0
2019-05-14,24.5,0.39,1.79,47.6,34.4,4.91,0.0
2019-05-15,23.0,0.5,0.58,48.9,34.7,5.12,0.0
2019-05-16,22.5,0.56,0.35,52.6,34.7,4.87,0.0
2019-05-17,23.9,0.5,0.19,52.3,34.6,5.45,0.0
2019-05-18,24.5,0.62,0.66,43.6,35.9,5.37,0.0
2019-05-19,23.2,0.49,0.0,47.7,36.0,5.73,0.0
2019-05-20,24.0,0.59,1.69,47.7,35.9,6.35,0.0
2019-05-21,23.9,0.67,0.0,50.0,35.3,7.53,0.0
2019-05-22,25.3,0.89,2.38,49.5,35.3,7.76,0.0
2019-05-23,24.3,0.92,0.33,50.1,35.4,14.18,0.0
2019-05-24,25.2,1.82,0.09,49.7,35.5,13.97,0.0
2019-05-25,23.9,1.82,1.23,42.3,36.7,13.6,0.0
2019-05-26,23.3,1.69,0.46,39.7,37.2,13.52,0.0
2019-05-27,23.4,1.77,1.42,36.9,37.4,12.71,0.0
2019-05-28,24.4,1.59,0.37,42.5,37.2,12.04,0.0
2019-05-29,24.9,1.51,0.6,50.4,35.9,11.32,0.0
2019-05-30,23.8,1.51,0.6,57.2,33.9,16.02,0.0
2019-05-31,25.1,1.95,0.0,53.0,35.5,14.88,0.0
2019-06-01,24.9,1.8,4.49,54.9,34.3,14.5,0.0
2019-06-02,23.7,2.07,5.32,49.7,35.2,17.13,0.0
2019-06-03,22.6,4.6,0.01,53.6,33.7,19.24,0.0
2019-06-04,25.4,2.22,2.34,57.2,33.1,18.6,0.0
2019-06-05,25.0,2.03,9.3,49.2,35.6,18.16,0.0
2019-06-06,23.3,3.54,14.21,50.5,34.9,24.42,0.0
2019-06-07,23.0,3.21,0.07,53.6,34.0,23.83,0.0
2019-06-08,21.6,2.86,0.67,53.4,33.5,31.29,0.0
2019-06-09,21.3,2.74,0.0,50.0,34.9,29.17,0.0
2019-06-10,24.7,2.57,0.0,55.9,33.8,27.93,0.0
2019-06-11,25.4,2.03,0.0,49.4,35.1,27.05,0.0
2019-06-12,24.9,2.44,0.36,47.7,35.4,26.14,0.0
